Market,State,Service,Growth Rate,Service Leads,Market Total,Coverage %,Opportunity Level,Score
"Newark, NJ",NJ,"EV Charging Installation",27.11,0,276,0.00,NO_PRESENCE,7482.36
"Naples, FL",FL,"EV Charging Installation",27.11,0,270,0.00,NO_PRESENCE,7319.70
"Newark, NJ",NJ,"Smart Home Installation",23.4,0,276,0.00,NO_PRESENCE,6458.40
"Naples, FL",FL,"Smart Home Installation",23.4,0,270,0.00,NO_PRESENCE,6318.00
"Newark, NJ",NJ,"Artificial Turf Installation",19.7,0,276,0.00,NO_PRESENCE,5437.20
"Naples, FL",FL,"Artificial Turf Installation",19.7,0,270,0.00,NO_PRESENCE,5319.00
"Greenwich, CT",CT,"EV Charging Installation",27.11,0,104,0.00,NO_PRESENCE,2819.44
"Amarillo, TX",TX,"EV Charging Installation",27.11,0,94,0.00,NO_PRESENCE,2548.34
"Newark, NJ",NJ,"Outdoor Kitchen Installation",8.9,0,276,0.00,NO_PRESENCE,2456.40
"Greenwich, CT",CT,"Smart Home Installation",23.4,0,104,0.00,NO_PRESENCE,2433.60
"Naples, FL",FL,"Outdoor Kitchen Installation",8.9,0,270,0.00,NO_PRESENCE,2403.00
"San Diego, CA",CA,"EV Charging Installation",27.11,0,88,0.00,NO_PRESENCE,2385.68
"Newark, NJ",NJ,"Water Features Installation",8,0,276,0.00,NO_PRESENCE,2208.00
"Amarillo, TX",TX,"Smart Home Installation",23.4,0,94,0.00,NO_PRESENCE,2199.60
"Naples, FL",FL,"Water Features Installation",8,0,270,0.00,NO_PRESENCE,2160.00
"San Diego, CA",CA,"Smart Home Installation",23.4,0,88,0.00,NO_PRESENCE,2059.20
"Greenwich, CT",CT,"Artificial Turf Installation",19.7,0,104,0.00,NO_PRESENCE,2048.80
"Amarillo, TX",TX,"Artificial Turf Installation",19.7,0,94,0.00,NO_PRESENCE,1851.80
"San Diego, CA",CA,"Artificial Turf Installation",19.7,0,88,0.00,NO_PRESENCE,1733.60
"Newark, NJ",NJ,"Custom Lighting Design",5.72,0,276,0.00,NO_PRESENCE,1578.72
"Naples, FL",FL,"Custom Lighting Design",5.72,0,270,0.00,NO_PRESENCE,1544.40
"Newark, NJ",NJ,"Outdoor Living Structures",5.3,0,276,0.00,NO_PRESENCE,1462.80
"Naples, FL",FL,"Outdoor Living Structures",5.3,0,270,0.00,NO_PRESENCE,1431.00
"Newark, NJ",NJ,"Foundation Repair",5,0,276,0.00,NO_PRESENCE,1380.00
"Newark, NJ",NJ,"Basement Waterproofing",5,0,276,0.00,NO_PRESENCE,1380.00
"Naples, FL",FL,"Foundation Repair",5,0,270,0.00,NO_PRESENCE,1350.00
"Naples, FL",FL,"Basement Waterproofing",5,0,270,0.00,NO_PRESENCE,1350.00
